Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition,Year
Duke,,115.8,,,,74.6,0.547,,15.7,,50.6,37.4,0.342,0.384,8.88,0,0,0,0,0,0,0.0,0.0,2000
Florida,,111.4,,,,74.2,0.538,,18.2,,53.6,40.5,0.318,0.385,8.51,0,0,0,0,0,0,0.0,0.0,2000
Oklahoma State,,108.9,,,,70.8,0.535,,17.3,,52.6,34.6,0.287,0.395,6.59,0,0,0,0,0,0,0.0,0.0,2000
Seton Hall,,104.2,,,,67.8,0.5,,18.0,,49.0,36.6,0.367,0.341,5.11,0,0,0,0,0,0,0.0,0.0,2000
Michigan State,,112.1,,,,65.6,0.533,,18.3,,58.9,42.1,0.311,0.38,9.91,0,0,0,0,0,0,0.0,0.0,2000
Syracuse,,109.8,,,,68.1,0.514,,17.0,,52.6,40.2,0.258,0.362,6.2,0,0,0,0,0,0,0.0,0.0,2000
UCLA,,104.4,,,,71.8,0.532,,19.3,,52.6,38.7,0.278,0.329,10.11,0,0,0,0,0,0,0.0,0.0,2000
Iowa State,,110.1,,,,70.4,0.529,,16.8,,54.5,36.0,0.242,0.42,7.14,0,0,0,0,0,0,0.0,0.0,2000
Tennessee,,108.0,,,,72.9,0.516,,17.8,,51.7,38.9,0.365,0.395,8.12,0,0,0,0,0,0,0.0,0.0,2000
Miami (FL),,100.6,,,,68.3,0.464,,18.0,,51.5,39.8,0.223,0.35,5.39,0,0,0,0,0,0,0.0,0.0,2000
Tulsa,,109.9,,,,72.7,0.532,,17.8,,51.2,36.3,0.344,0.389,2.42,0,0,0,0,0,0,0.0,0.0,2000
Wisconsin,,98.0,,,,61.1,0.484,,16.4,,48.6,26.3,0.336,0.344,12.5,0,0,0,0,0,0,0.0,0.0,2000
Purdue,,106.3,,,,68.8,0.497,,17.8,,51.9,38.7,0.308,0.459,9.56,0,0,0,0,0,0,0.0,0.0,2000
Gonzaga,,112.1,,,,68.8,0.544,,16.4,,51.7,34.2,0.355,0.395,4.64,0,0,0,0,0,0,0.0,0.0,2000
Duke,,117.8,,,,76.8,0.561,,15.0,,50.7,37.0,0.418,0.396,11.98,0,0,0,0,0,0,0.0,0.0,2001
UCLA,,105.5,,,,74.5,0.512,,18.0,,51.7,37.2,0.275,0.426,12.07,0,0,0,0,0,0,0.0,0.0,2001
Kentucky,,110.2,,,,72.1,0.541,,17.6,,51.9,39.2,0.345,0.366,11.12,0,0,0,0,0,0,0.0,0.0,2001
Illinois,,108.4,,,,71.0,0.514,,17.5,,54.8,38.4,0.331,0.43,11.38,0,0,0,0,0,0,0.0,0.0,2001
Kansas,,110.2,,,,74.4,0.548,,18.3,,54.9,38.7,0.233,0.395,9.04,0,0,0,0,0,0,0.0,0.0,2001
Arizona,,111.5,,,,72.6,0.522,,17.5,,54.5,40.0,0.255,0.441,12.56,0,0,0,0,0,0,0.0,0.0,2001
Michigan State,,115.3,,,,66.9,0.526,,16.5,,61.1,47.1,0.231,0.351,9.54,0,0,0,0,0,0,0.0,0.0,2001
Gonzaga,,116.3,,,,70.6,0.579,,17.4,,53.6,35.0,0.338,0.528,0.32,0,0,0,0,0,0,0.0,0.0,2001
Temple,,113.3,,,,61.7,0.492,,11.0,,50.1,36.9,0.376,0.31,9.77,0,0,0,0,0,0,0.0,0.0,2001
Penn State,,106.4,,,,71.6,0.496,,14.9,,44.7,28.4,0.386,0.391,10.55,0,0,0,0,0,0,0.0,0.0,2001
Stanford,,119.4,,,,69.7,0.579,,16.0,,55.6,35.8,0.315,0.484,9.86,0,0,0,0,0,0,0.0,0.0,2001
Cincinnati,,110.0,,,,66.2,0.495,,13.5,,49.5,36.9,0.289,0.366,7.85,0,0,0,0,0,0,0.0,0.0,2001
