Starting Phase 5 optimization with 10000 iterations...
Starting Phase 5: Definitive Truth Sweep...
Initial CV Fitness: 128.0 | Avg Score: 168.85
Iter 0/10000 | Best Fitness: 128.0
[6] New Global Best! Fitness: 128.35 | Avg: 160.81 | Temp: 9994
[18] New Global Best! Fitness: 124.73 | Avg: 156.15 | Temp: 9982
[21] New Global Best! Fitness: 110.51 | Avg: 138.35 | Temp: 9979
[22] New Global Best! Fitness: 125.89 | Avg: 152.46 | Temp: 9978
[28] New Global Best! Fitness: 130.57 | Avg: 156.38 | Temp: 9972
[30] New Global Best! Fitness: 136.83 | Avg: 167.65 | Temp: 9970
[43] New Global Best! Fitness: 138.34 | Avg: 170.65 | Temp: 9957
[46] New Global Best! Fitness: 111.21 | Avg: 139.46 | Temp: 9954
[48] New Global Best! Fitness: 138.65 | Avg: 167.73 | Temp: 9952
[53] New Global Best! Fitness: 142.69 | Avg: 173.08 | Temp: 9947
[69] New Global Best! Fitness: 127.39 | Avg: 160.58 | Temp: 9931
[71] New Global Best! Fitness: 131.42 | Avg: 160.5 | Temp: 9929
[74] New Global Best! Fitness: 131.38 | Avg: 156.19 | Temp: 9926
[79] New Global Best! Fitness: 123.48 | Avg: 151.19 | Temp: 9921
[80] New Global Best! Fitness: 136.75 | Avg: 165.81 | Temp: 9920
[85] New Global Best! Fitness: 145.23 | Avg: 173.04 | Temp: 9915
Iter 100/10000 | Best Fitness: 145.23
[102] New Global Best! Fitness: 115.06 | Avg: 146.5 | Temp: 9898
[103] New Global Best! Fitness: 127.43 | Avg: 158.31 | Temp: 9897
[108] New Global Best! Fitness: 120.19 | Avg: 144.69 | Temp: 9892
[110] New Global Best! Fitness: 115.82 | Avg: 144.5 | Temp: 9890
[112] New Global Best! Fitness: 122.0 | Avg: 153.96 | Temp: 9888
[118] New Global Best! Fitness: 114.11 | Avg: 140.42 | Temp: 9882
[123] New Global Best! Fitness: 135.16 | Avg: 163.88 | Temp: 9877
[134] New Global Best! Fitness: 124.47 | Avg: 154.73 | Temp: 9866
[141] New Global Best! Fitness: 115.64 | Avg: 146.23 | Temp: 9859
[143] New Global Best! Fitness: 124.26 | Avg: 153.65 | Temp: 9857
[147] New Global Best! Fitness: 122.9 | Avg: 152.12 | Temp: 9853
[153] New Global Best! Fitness: 120.27 | Avg: 150.0 | Temp: 9847
[159] New Global Best! Fitness: 115.34 | Avg: 143.77 | Temp: 9841
[161] New Global Best! Fitness: 148.93 | Avg: 183.12 | Temp: 9839
[191] New Global Best! Fitness: 108.27 | Avg: 131.04 | Temp: 9809
[193] New Global Best! Fitness: 106.65 | Avg: 132.69 | Temp: 9807
[197] New Global Best! Fitness: 123.9 | Avg: 145.19 | Temp: 9803
[200] New Global Best! Fitness: 124.29 | Avg: 154.62 | Temp: 9800
Iter 200/10000 | Best Fitness: 124.29
[204] New Global Best! Fitness: 108.9 | Avg: 137.77 | Temp: 9796
[206] New Global Best! Fitness: 118.96 | Avg: 141.92 | Temp: 9794
[207] New Global Best! Fitness: 119.88 | Avg: 144.69 | Temp: 9793
[210] New Global Best! Fitness: 120.22 | Avg: 146.31 | Temp: 9790
[219] New Global Best! Fitness: 107.31 | Avg: 127.62 | Temp: 9781
[220] New Global Best! Fitness: 126.67 | Avg: 158.54 | Temp: 9780
[224] New Global Best! Fitness: 119.94 | Avg: 144.04 | Temp: 9776
[233] New Global Best! Fitness: 114.75 | Avg: 138.35 | Temp: 9767
[234] New Global Best! Fitness: 118.83 | Avg: 142.23 | Temp: 9766
[243] New Global Best! Fitness: 107.77 | Avg: 128.38 | Temp: 9757
[246] New Global Best! Fitness: 111.48 | Avg: 136.69 | Temp: 9754
[250] New Global Best! Fitness: 132.78 | Avg: 162.38 | Temp: 9750
[252] New Global Best! Fitness: 140.18 | Avg: 171.69 | Temp: 9748
[277] New Global Best! Fitness: 143.82 | Avg: 172.81 | Temp: 9723
[280] New Global Best! Fitness: 134.77 | Avg: 162.5 | Temp: 9720
[282] New Global Best! Fitness: 143.64 | Avg: 172.77 | Temp: 9718
Iter 300/10000 | Best Fitness: 143.64
[317] New Global Best! Fitness: 131.06 | Avg: 162.27 | Temp: 9683
[320] New Global Best! Fitness: 132.74 | Avg: 159.77 | Temp: 9680
[326] New Global Best! Fitness: 114.64 | Avg: 138.96 | Temp: 9674
[327] New Global Best! Fitness: 120.74 | Avg: 150.23 | Temp: 9673
[329] New Global Best! Fitness: 124.96 | Avg: 154.46 | Temp: 9671
[330] New Global Best! Fitness: 125.01 | Avg: 156.35 | Temp: 9670
[332] New Global Best! Fitness: 121.0 | Avg: 152.58 | Temp: 9668
[334] New Global Best! Fitness: 115.47 | Avg: 146.54 | Temp: 9666
[336] New Global Best! Fitness: 127.78 | Avg: 158.65 | Temp: 9664
