Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Air Force,,,,,,,0.514,,19.6,,48.0,22.9,0.393,0.42,2.37,0,0,0,0,0,0,0.0,0.0
Akron,,,,,,,0.483,,17.5,,49.2,42.4,0.394,0.358,-2.01,0,0,0,0,0,0,0.0,0.0
Alabama,,,,,,,0.483,,17.1,,51.6,44.1,0.25,0.372,3.99,0,0,0,0,0,0,0.0,0.0
Alabama A&M,,,,,,,0.427,,19.3,,46.0,34.0,0.29,0.407,-11.63,0,0,0,0,0,0,0.0,0.0
Alabama State,,,,,,,0.517,,17.5,,50.3,35.8,0.314,0.35,-11.2,0,0,0,0,0,0,0.0,0.0
Albany (NY),,,,,,,0.455,,19.2,,56.3,,0.258,0.344,-4.11,0,0,0,0,0,0,0.0,0.0
Alcorn State,,,,,,,0.44,,16.9,,42.9,31.8,0.3,0.373,-10.26,0,0,0,0,0,0,0.0,0.0
American,,,,,,,0.537,,18.5,,51.9,30.2,0.381,0.318,-5.49,0,0,0,0,0,0,0.0,0.0
Appalachian State,,,,,,,0.52,,20.4,,55.3,40.4,0.363,0.415,-5.44,0,0,0,0,0,0,0.0,0.0
Arizona,,,,,,,0.53,,16.5,,51.7,38.7,0.29,0.375,8.8,0,0,0,0,0,0,0.0,0.0
Arizona State,,,,,,,0.564,,16.5,,51.0,28.8,0.453,0.387,7.82,0,0,0,0,0,0,0.0,0.0
Arkansas,,,,,,,0.493,,16.4,,51.1,38.1,0.334,0.373,3.89,0,0,0,0,0,0,0.0,0.0
Arkansas State,,,,,,,0.477,,17.3,,51.7,34.7,0.262,0.339,-4.31,0,0,0,0,0,0,0.0,0.0
Arkansas-Pine Bluff,,,,,,,0.436,,22.6,,50.7,44.6,0.244,0.367,-7.48,0,0,0,0,0,0,0.0,0.0
Army,,,,,,,0.467,,20.8,,45.6,23.7,0.279,0.292,-7.59,0,0,0,0,0,0,0.0,0.0
Auburn,,,,,,,0.504,,15.8,,49.9,42.2,0.393,0.379,3.56,0,0,0,0,0,0,0.0,0.0
Austin Peay,,,,,,,0.531,,16.8,,49.6,35.9,0.328,0.379,-3.69,0,0,0,0,0,0,0.0,0.0
Ball State,,,,,,,0.454,,17.9,,50.6,33.3,0.251,0.384,-3.02,0,0,0,0,0,0,0.0,0.0
Baylor,,,,,,,0.54,,16.2,,49.8,41.1,0.4,0.382,7.93,0,0,0,0,0,0,0.0,0.0
Belmont,,,,,,,0.529,,17.4,,49.6,39.0,0.484,0.339,-1.37,0,0,0,0,0,0,0.0,0.0
Bethune-Cookman,,,,,,,0.437,,18.8,,52.6,41.8,0.283,0.386,-9.76,0,0,0,0,0,0,0.0,0.0
Binghamton,,,,,,,0.495,,16.9,,48.5,35.7,0.326,0.416,-5.62,0,0,0,0,0,0,0.0,0.0
Boise State,,,,,,,0.527,,18.4,,49.5,31.4,0.316,0.294,0.54,0,0,0,0,0,0,0.0,0.0
Boston College,,,,,,,0.497,,16.3,,51.9,48.5,0.325,0.367,7.23,0,0,0,0,0,0,0.0,0.0
Boston University,,,,,,,0.505,,17.5,,49.1,34.5,0.45,0.351,-4.91,0,0,0,0,0,0,0.0,0.0
Bowling Green,,,,,,,0.489,,17.2,,51.2,38.0,0.325,0.305,-1.75,0,0,0,0,0,0,0.0,0.0
Bradley,,,,,,,0.499,,19.0,,49.5,38.8,0.359,0.445,1.95,0,0,0,0,0,0,0.0,0.0
Brigham Young,,,,,,,0.547,,14.6,,52.7,30.2,0.332,0.356,4.15,0,0,0,0,0,0,0.0,0.0
Brown,,,,,,,0.484,,19.5,,49.6,23.5,0.366,0.379,-5.02,0,0,0,0,0,0,0.0,0.0
Bryant,,92.1,,,,62.5,0.463,,18.7,,44.7,27.1,0.425,0.308,,0,0,0,0,0,0,0.0,0.0
Bucknell,,,,,,,0.444,,17.4,,48.6,32.1,0.35,0.299,-4.12,0,0,0,0,0,0,0.0,0.0
Buffalo,,,,,,,0.464,,17.6,,53.9,45.7,0.271,0.354,-0.9,0,0,0,0,0,0,0.0,0.0
Butler,,,,,,,0.518,,17.1,,52.5,32.8,0.454,0.43,2.07,0,0,0,0,0,0,0.0,0.0
Cal Poly,,,,,,,0.465,,15.2,,46.7,29.5,0.352,0.306,-1.32,0,0,0,0,0,0,0.0,0.0
Cal State Bakersfield,,97.3,,,,65.6,0.449,,16.6,,47.1,34.2,0.354,0.357,,0,0,0,0,0,0,0.0,0.0
Cal State Fullerton,,,,,,,0.504,,16.2,,47.0,37.2,0.398,0.325,-1.26,0,0,0,0,0,0,0.0,0.0
Cal State Northridge,,,,,,,0.514,,20.7,,52.4,40.3,0.337,0.338,-0.14,0,0,0,0,0,0,0.0,0.0
California,,,,,,,0.54,,15.7,,51.6,33.3,0.266,0.343,7.21,0,0,0,0,0,0,0.0,0.0
Campbell,,,,,,,0.484,,19.5,,51.3,37.7,0.292,0.407,-3.42,0,0,0,0,0,0,0.0,0.0
Canisius,,,,,,,0.453,,20.1,,50.0,39.0,0.311,0.339,-1.68,0,0,0,0,0,0,0.0,0.0
Centenary (LA),,,,,,,0.47,,17.7,,43.4,,0.391,0.319,-1.56,0,0,0,0,0,0,0.0,0.0
Central Arkansas,,95.5,,,,66.5,0.451,,17.4,,48.4,31.5,0.313,0.412,,0,0,0,0,0,0,0.0,0.0
Central Connecticut State,,,,,,,0.487,,18.8,,49.4,33.2,0.247,0.329,-6.76,0,0,0,0,0,0,0.0,0.0
Central Michigan,,,,,,,0.473,,18.9,,49.6,36.2,0.329,0.378,-4.15,0,0,0,0,0,0,0.0,0.0
Charleston Southern,,,,,,,0.494,,16.9,,52.2,36.8,0.339,0.277,-5.46,0,0,0,0,0,0,0.0,0.0
Charlotte,,,,,,,0.469,,16.1,,48.1,39.6,0.386,0.328,2.47,0,0,0,0,0,0,0.0,0.0
Chattanooga,,,,,,,0.51,,18.4,,51.7,43.8,0.41,0.467,-3.13,0,0,0,0,0,0,0.0,0.0
Chicago State,,,,,,,0.521,,16.6,,50.7,46.1,0.351,0.372,-4.51,0,0,0,0,0,0,0.0,0.0
Cincinnati,,,,,,,0.486,,16.9,,52.6,45.7,0.376,0.301,6.77,0,0,0,0,0,0,0.0,0.0
Clemson,,,,,,,0.528,,16.8,,51.3,46.2,0.347,0.315,6.59,0,0,0,0,0,0,0.0,0.0
Cleveland State,,,,,,,0.476,,16.0,,50.4,44.1,0.283,0.357,2.12,0,0,0,0,0,0,0.0,0.0
Coastal Carolina,,,,,,,0.506,,19.6,,50.7,38.6,0.371,0.327,-6.98,0,0,0,0,0,0,0.0,0.0
Colgate,,,,,,,0.453,,20.3,,47.1,27.3,0.319,0.379,-6.12,0,0,0,0,0,0,0.0,0.0
College of Charleston,,,,,,,0.541,,15.4,,49.1,42.2,0.365,0.32,-5.87,0,0,0,0,0,0,0.0,0.0
Colorado,,,,,,,0.512,,19.8,,45.1,20.1,0.334,0.395,5.04,0,0,0,0,0,0,0.0,0.0
Colorado State,,,,,,,0.484,,17.3,,49.6,34.4,0.315,0.385,3.88,0,0,0,0,0,0,0.0,0.0
Columbia,,,,,,,0.45,,18.5,,49.4,30.6,0.292,0.348,-6.46,0,0,0,0,0,0,0.0,0.0
Connecticut,,,,,,,0.513,,15.1,,55.8,33.2,0.23,0.464,8.57,0,0,0,0,0,0,0.0,0.0
Coppin State,,,,,,,0.465,,16.6,,45.0,33.7,0.302,0.314,-4.59,0,0,0,0,0,0,0.0,0.0
Cornell,,,,,,,0.542,,16.6,,52.2,32.1,0.338,0.314,-4.01,0,0,0,0,0,0,0.0,0.0
Creighton,,,,,,,0.516,,15.7,,47.5,34.4,0.377,0.398,0.92,0,0,0,0,0,0,0.0,0.0
Dartmouth,,,,,,,0.458,,17.8,,48.2,30.9,0.274,0.312,-6.03,0,0,0,0,0,0,0.0,0.0
Davidson,,,,,,,0.506,,14.8,,51.0,45.7,0.392,0.329,-3.33,0,0,0,0,0,0,0.0,0.0
Dayton,,,,,,,0.47,,17.0,,53.2,48.4,0.294,0.381,1.76,0,0,0,0,0,0,0.0,0.0
Delaware,,,,,,,0.478,,16.5,,47.6,32.9,0.391,0.379,-2.64,0,0,0,0,0,0,0.0,0.0
Delaware State,,,,,,,0.48,,21.1,,47.9,35.5,0.338,0.281,-4.78,0,0,0,0,0,0,0.0,0.0
Denver,,,,,,,0.57,,20.6,,44.6,14.5,0.482,0.361,-4.97,0,0,0,0,0,0,0.0,0.0
DePaul,,,,,,,0.455,,15.8,,46.9,42.6,0.331,0.317,6.88,0,0,0,0,0,0,0.0,0.0
Detroit Mercy,,,,,,,0.449,,22.4,,49.7,30.6,0.238,0.4,0.65,0,0,0,0,0,0,0.0,0.0
Drake,,,,,,,0.497,,17.7,,50.0,30.4,0.464,0.393,1.41,0,0,0,0,0,0,0.0,0.0
Drexel,,,,,,,0.416,,15.9,,53.4,44.5,0.296,0.39,-1.28,0,0,0,0,0,0,0.0,0.0
Duke,,,,,,,0.505,,14.8,,51.9,49.0,0.35,0.414,9.07,0,0,0,0,0,0,0.0,0.0
