Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition,AdjOffSQ,AdjDefSQ,Rim3Rate,KillShotsScored,KillShotsConceded,BPR,PaceVar,RecentForm
Abilene Christian,0.0,105.0,0.0,0.0,0.0,71.1,0.507,0.0,16.9,0.0,50.1,30.6,0.373,0.383,-6.87,0,0,0,0,0,0,0.0,0.0,107.87931689330686,98.38803782006701,0.5857944705713636,8.2,6.2,2.0637897281758733,2.355399979954287,0.010433835254776813
Air Force,0.0,106.0,0.0,0.0,0.0,68.9,0.534,0.0,16.1,0.0,50.0,22.7,0.417,0.357,3.02,0,0,0,0,0,0,0.0,0.0,110.66198417264263,99.76138590643522,0.5011769288966563,7.4,6.3,2.0587387332466096,1.7281621731227301,1.2421735850982418
Akron,0.0,107.2,0.0,0.0,0.0,70.6,0.521,0.0,16.0,0.0,50.7,27.9,0.444,0.351,-0.4,0,0,0,0,0,0,0.0,0.0,102.27329462902333,95.02984652279301,0.37249241040041925,9.8,6.1,7.245728530402893,2.0738759057060574,-0.4431901111225649
Alabama,0.0,106.0,0.0,0.0,0.0,76.1,0.522,0.0,16.7,0.0,49.7,29.8,0.489,0.369,8.12,0,0,0,0,0,0,0.0,0.0,103.26250127002314,98.84992103511843,0.40355456279890756,8.0,7.9,1.7742372099609085,1.5957649396721583,-0.9263288475115754
Alabama A&M,0.0,87.9,0.0,0.0,0.0,69.6,0.424,0.0,16.4,0.0,47.5,24.7,0.317,0.327,-8.85,0,0,0,0,0,0,0.0,0.0,83.87400346313714,97.68130975013507,0.4013846921247567,5.1,9.8,-7.2027754276181,3.6307294200155966,-1.2146082820605375
Alabama State,0.0,86.7,0.0,0.0,0.0,70.8,0.446,0.0,19.9,0.0,47.1,25.7,0.39,0.357,-6.53,0,0,0,0,0,0,0.0,0.0,90.15554803764144,103.16639955322553,0.41073236629830784,7.1,9.8,-6.665716190211359,2.2903551478461437,-0.7731401794601744
Albany (NY),0.0,95.0,0.0,0.0,0.0,69.7,0.482,0.0,17.5,0.0,49.8,24.1,0.438,0.339,-5.91,0,0,0,0,0,0,0.0,0.0,94.27054507408481,99.31797496551818,0.36142960748994657,6.7,4.9,-3.0207588016360325,2.4312938810468916,-0.6366317174883649
Alcorn State,0.0,102.5,0.0,0.0,0.0,72.6,0.5,0.0,17.1,0.0,51.3,30.2,0.399,0.304,-9.64,0,0,0,0,0,0,0.0,0.0,97.88333295107154,97.33205778648207,0.5387685981432,9.4,8.2,6.1846700322029236,2.9350564163179413,-0.7945478914230384
American,0.0,103.4,0.0,0.0,0.0,69.0,0.516,0.0,15.7,0.0,48.5,26.5,0.348,0.286,-6.5,0,0,0,0,0,0,0.0,0.0,108.12753178622893,96.03810603114529,0.4998442729009011,9.9,5.4,-0.13376142230713506,4.247558954886077,-2.3590543639830512
Appalachian State,0.0,99.3,0.0,0.0,0.0,68.6,0.489,0.0,17.0,0.0,49.7,27.7,0.388,0.412,-0.01,0,0,0,0,0,0,0.0,0.0,97.08528441819898,96.90790543991406,0.5975790111136379,7.4,5.8,0.38742738045940295,1.8241445042499373,-1.1241821580846623
Arizona,0.0,107.9,0.0,0.0,0.0,70.3,0.507,0.0,14.5,0.0,52.5,30.7,0.347,0.367,8.4,0,0,0,0,0,0,0.0,0.0,104.90447103503402,101.64661735470848,0.45196944122891963,8.3,8.1,6.36060618179661,3.320423744790772,1.1270095974849705
Arizona State,0.0,100.1,0.0,0.0,0.0,73.7,0.488,0.0,15.7,0.0,48.5,26.5,0.369,0.324,8.1,0,0,0,0,0,0,0.0,0.0,95.26996338806102,101.28575428436675,0.5965362907593419,7.0,8.4,1.421363251418426,3.639795369730013,-2.1915025066852927
Arkansas,0.0,104.5,0.0,0.0,0.0,71.4,0.509,0.0,14.4,0.0,45.2,21.5,0.399,0.425,7.27,0,0,0,0,0,0,0.0,0.0,99.3527038747825,98.05369155059334,0.33089403913000703,8.1,8.3,-0.38458345929142634,3.5097944655366553,-0.476776906559794
Arkansas State,0.0,102.4,0.0,0.0,0.0,68.5,0.49,0.0,16.5,0.0,49.3,28.8,0.317,0.474,-0.72,0,0,0,0,0,0,0.0,0.0,104.44991392049097,97.60611011468623,0.3568576834779855,11.9,7.9,0.5732679905983368,3.3167623989373403,0.8130974475928374
Arkansas-Pine Bluff,0.0,79.3,0.0,0.0,0.0,67.6,0.435,0.0,23.3,0.0,48.9,27.9,0.289,0.374,-6.41,0,0,0,0,0,0,0.0,0.0,79.58734101352222,97.1770006545645,0.3680165941500069,6.2,10.6,-11.366132329846476,2.6116147374058842,2.2874229969189384
Army,0.0,100.9,0.0,0.0,0.0,69.7,0.533,0.0,15.4,0.0,48.6,20.0,0.37,0.253,-6.68,0,0,0,0,0,0,0.0,0.0,98.24799059361479,102.29796209828325,0.5732843725706075,10.9,8.5,2.150677198621311,1.7272616338545657,-2.7670673914143813
Auburn,0.0,108.2,0.0,0.0,0.0,70.4,0.5,0.0,15.0,0.0,53.7,35.3,0.441,0.438,7.39,0,0,0,0,0,0,0.0,0.0,108.76743775589709,99.32949510793733,0.4495574954615869,6.9,6.4,5.29571369736143,3.2716327870563617,1.0883665828984082
Austin Peay,0.0,108.8,0.0,0.0,0.0,69.9,0.516,0.0,15.6,0.0,52.1,33.1,0.331,0.368,-4.14,0,0,0,0,0,0,0.0,0.0,113.46390634686207,100.74054459899489,0.3092107825607246,8.7,5.9,3.485650989841611,1.8986780082518333,-2.695706873996059
Ball State,0.0,100.2,0.0,0.0,0.0,69.4,0.508,0.0,17.0,0.0,51.0,25.3,0.48,0.308,-1.65,0,0,0,0,0,0,0.0,0.0,101.77356095025058,98.59848640915565,0.5291941573064517,6.7,5.3,2.260223529789346,3.511011916380959,-2.5920132083125513
