Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Abilene Christian,,105.2,,,,72.0,0.512,,16.2,,-6.37,,0.0
Air Force,,91.9,,,,63.9,0.521,,21.2,,0.22,,0.0
Akron,,110.2,,,,70.1,0.52,,14.3,,-1.96,,0.0
Alabama,,106.3,,,,74.7,0.517,,15.9,,10.01,,0.0
Alabama A&M,,88.9,,,,70.1,0.448,,18.6,,-14.99,,0.0
Alabama State,,88.8,,,,72.4,0.435,,19.3,,-16.95,,0.0
Albany (NY),,99.6,,,,69.7,0.505,,16.4,,-5.22,,0.0
Alcorn State,,92.8,,,,71.3,0.444,,17.7,,-10.06,,0.0
American,,97.5,,,,67.5,0.526,,20.1,,-1.82,,0.0
Appalachian State,,103.1,,,,66.8,0.478,,14.9,,-5.72,,0.0
Arizona,,109.2,,,,68.4,0.505,,14.7,,8.18,,0.0
Arizona State,,101.4,,,,72.6,0.492,,13.5,,10.24,,0.0
Arkansas,,108.0,,,,75.1,0.508,,14.7,,7.18,,0.0
Arkansas State,,104.1,,,,69.3,0.502,,16.2,,-5.87,,0.0
Arkansas-Pine Bluff,,88.2,,,,69.5,0.432,,19.7,,-7.79,,0.0
Army,,101.9,,,,70.0,0.523,,15.9,,0.63,,0.0
Auburn,,104.1,,,,73.4,0.512,,18.7,,9.28,,0.0
Austin Peay,,106.7,,,,69.0,0.513,,17.8,,-8.22,,0.0
Ball State,,102.7,,,,72.0,0.513,,17.3,,-1.22,,0.0
Baylor,,118.6,,,,69.6,0.565,,14.0,,7.4,,0.0
nan,,,,,,,,,,,,,0.0
Bellarmine,,112.9,,,,65.8,0.567,,15.1,,-5.56,,0.0
Belmont,,112.6,,,,71.9,0.563,,14.8,,-8.71,,0.0
Binghamton,,96.9,,,,66.2,0.489,,17.8,,-5.35,,0.0
Boise State,,107.4,,,,70.2,0.522,,14.7,,1.71,,0.0
Boston College,,98.7,,,,71.8,0.498,,16.8,,8.97,,0.0
Boston University,,102.2,,,,67.9,0.496,,16.1,,0.84,,0.0
Bowling Green,,106.8,,,,71.9,0.48,,11.5,,-2.37,,0.0
Bradley,,103.9,,,,66.4,0.509,,16.0,,1.17,,0.0
Brigham Young,,109.8,,,,70.2,0.556,,16.4,,7.23,,0.0
Bryant,,108.5,,,,77.2,0.541,,17.3,,-7.27,,0.0
Bucknell,,102.5,,,,73.1,0.52,,16.0,,-5.36,,0.0
Buffalo,,108.6,,,,74.2,0.514,,15.5,,-1.58,,0.0
Butler,,96.2,,,,65.1,0.475,,15.3,,9.92,,0.0
Cal Poly,,89.3,,,,68.5,0.454,,18.2,,-1.56,,0.0
Cal State Bakersfield,,105.6,,,,65.7,0.494,,16.4,,-2.38,,0.0
Cal State Fullerton,,105.1,,,,72.7,0.521,,15.6,,-3.05,,0.0
Cal State Northridge,,101.2,,,,70.9,0.488,,14.7,,-1.97,,0.0
California,,98.7,,,,66.3,0.497,,17.1,,9.75,,0.0
California Baptist,,110.6,,,,71.1,0.556,,16.7,,-5.04,,0.0
Campbell,,106.4,,,,65.8,0.565,,16.7,,-7.34,,0.0
nan,,,,,,,,,,,,,0.0
Canisius,,98.4,,,,71.5,0.47,,14.7,,-7.84,,0.0
Central Arkansas,,95.8,,,,74.0,0.498,,20.8,,-1.99,,0.0
Central Connecticut State,,95.2,,,,72.0,0.485,,17.6,,-6.27,,0.0
Central Michigan,,102.5,,,,74.9,0.499,,15.6,,-4.19,,0.0
Charleston Southern,,92.7,,,,70.2,0.474,,20.4,,-6.22,,0.0
Charlotte,,95.9,,,,64.6,0.489,,18.3,,-2.43,,0.0
Chattanooga,,104.8,,,,68.6,0.51,,14.3,,-2.92,,0.0
Chicago State,,77.9,,,,71.2,0.413,,20.1,,1.41,,0.0
