Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Abilene Christian,,98.6,,,,71.1,0.483,,18.0,,-2.39,,0.0
Air Force,,95.0,,,,64.7,0.501,,18.7,,3.65,,0.0
Akron,,115.4,,,,72.5,0.552,,14.0,,-3.75,,0.0
Alabama,,118.5,,,,76.0,0.566,,14.3,,16.14,,0.0
Alabama A&M,,98.4,,,,73.0,0.47,,18.1,,-9.93,,0.0
Alabama State,,104.7,,,,69.5,0.475,,11.1,,-8.19,,0.0
Albany (NY),,107.5,,,,68.7,0.499,,13.3,,-8.55,,0.0
Alcorn State,,97.7,,,,66.3,0.458,,16.6,,-6.96,,0.0
American,,105.2,,,,64.4,0.523,,15.2,,-6.85,,0.0
Appalachian State,,104.7,,,,64.5,0.507,,14.5,,-3.83,,0.0
Arizona,,116.3,,,,70.4,0.533,,13.7,,13.72,,0.0
Arizona State,,104.4,,,,70.1,0.515,,15.6,,13.32,,0.0
Arkansas,,108.5,,,,70.3,0.522,,14.3,,11.7,,0.0
Arkansas State,,111.9,,,,70.4,0.5,,12.3,,-2.4,,0.0
Arkansas-Pine Bluff,,99.0,,,,73.1,0.515,,17.5,,-8.44,,0.0
Army,,105.7,,,,67.7,0.504,,12.6,,-7.3,,0.0
Auburn,,119.6,,,,69.2,0.549,,11.7,,15.13,,0.0
Austin Peay,,105.3,,,,67.2,0.493,,12.7,,-3.86,,0.0
Ball State,,108.4,,,,69.0,0.519,,14.8,,-6.49,,0.0
Baylor,,113.6,,,,65.8,0.514,,13.5,,13.86,,0.0
nan,,,,,,,,,,,,,0.0
Bellarmine,,106.6,,,,67.6,0.548,,16.0,,-4.88,,0.0
Belmont,,112.2,,,,70.4,0.55,,14.0,,-0.12,,0.0
Bethune-Cookman,,98.6,,,,69.6,0.482,,17.0,,-6.7,,0.0
Binghamton,,103.2,,,,66.8,0.527,,17.6,,-9.12,,0.0
Boise State,,113.9,,,,66.3,0.529,,14.2,,5.75,,0.0
Boston College,,102.4,,,,66.8,0.489,,15.0,,5.14,,0.0
Boston University,,103.1,,,,64.1,0.51,,17.4,,-8.39,,0.0
Bowling Green,,104.8,,,,70.1,0.508,,15.4,,-6.1,,0.0
Bradley,,113.3,,,,66.4,0.569,,15.3,,0.24,,0.0
Brigham Young,,117.6,,,,68.1,0.57,,14.9,,10.21,,0.0
Brown,,105.7,,,,67.4,0.517,,14.7,,-4.28,,0.0
Bryant,,111.0,,,,73.4,0.516,,13.7,,-6.93,,0.0
