Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,3PAr,SOS,Momentum,Intuition,AdjOffSQ,AdjDefSQ,Rim3Rate,KillShotsScored,KillShotsConceded,BPR,PaceVar,RecentForm
Abilene Christian,0.0,101.1,0.0,0.0,0.0,69.3,0.489,0.0,17.7,0.0,50.4,0.328,-1.23,0.0,0.0,96.97118416186777,97.64154736778254,0.5710801772777098,6.2,6.8,2.314174514657261,3.430017340782945,0.399635110405798
Air Force,0.0,91.3,0.0,0.0,0.0,67.4,0.489,0.0,19.8,0.0,44.8,0.418,4.7,0.0,0.0,95.76766769623687,98.48522018548826,0.39111509161673563,6.6,8.0,-6.6801961993611965,2.9499322989012673,-2.3133343021884873
Akron,0.0,123.1,0.0,0.0,0.0,71.8,0.588,0.0,13.2,0.0,53.5,0.451,-3.32,0.0,0.0,128.44204320134918,98.66582333983274,0.5238707326497595,13.8,6.3,9.780429805682932,1.7491623834682157,-2.1688273218729424
Alabama,0.0,122.0,0.0,0.0,0.0,74.6,0.554,0.0,11.2,0.0,50.4,0.537,14.45,0.0,0.0,116.81683889044095,99.89305966417888,0.5965164168365883,6.5,7.0,10.9550431567243,1.6530615549130478,1.9773589793967266
Alabama A&M,0.0,105.9,0.0,0.0,0.0,67.8,0.496,0.0,14.7,0.0,49.9,0.343,-10.47,0.0,0.0,103.99027833004102,101.55722395490747,0.5954809628005792,6.9,5.2,1.8127516231884828,2.9270208484750473,1.9046046404693135
Alabama State,0.0,101.7,0.0,0.0,0.0,71.9,0.478,0.0,15.5,0.0,50.0,0.382,-8.13,0.0,0.0,104.62671597906298,99.1779168410829,0.5710741143534647,8.8,5.0,3.147477446431354,3.1234179642096205,2.691612618366163
Albany (NY),0.0,108.1,0.0,0.0,0.0,66.6,0.53,0.0,15.6,0.0,51.5,0.372,-8.06,0.0,0.0,104.9692791371196,98.28698662475014,0.5002177894229823,6.3,6.1,6.358653728061411,2.3601895596989007,-2.102439794982832
Alcorn State,0.0,96.0,0.0,0.0,0.0,69.4,0.477,0.0,17.2,0.0,44.9,0.337,-6.53,0.0,0.0,93.97709311037822,99.7615769734944,0.5472887631291149,6.6,6.5,-4.232219984033639,3.48353285958638,-1.8748496690880878
American,0.0,110.6,0.0,0.0,0.0,67.5,0.526,0.0,13.7,0.0,48.7,0.461,-6.22,0.0,0.0,115.23444153163967,96.62911000958556,0.4528180347990042,10.3,7.2,1.6072008716941877,4.127499975177501,1.3766977877644189
Appalachian State,0.0,110.9,0.0,0.0,0.0,64.7,0.51,0.0,12.8,0.0,53.5,0.46,-5.66,0.0,0.0,107.98945735285224,96.19945680954739,0.3728854655781299,10.3,7.4,9.336978916238442,3.1813380899860824,-0.8068431253207948
Arizona,0.0,120.3,0.0,0.0,0.0,71.3,0.551,0.0,12.9,0.0,57.3,0.268,12.58,0.0,0.0,122.23467215764302,102.18781332637279,0.387889568182955,11.7,5.0,11.524034907779754,3.115906723237771,0.9497277957408923
Arizona State,0.0,108.1,0.0,0.0,0.0,70.6,0.511,0.0,14.9,0.0,47.8,0.384,12.81,0.0,0.0,105.44881919712239,96.97326034371925,0.3260411817514418,12.3,8.2,2.3966231598181245,3.331187373250389,-2.887342984189702
Arkansas,0.0,122.5,0.0,0.0,0.0,72.4,0.563,0.0,10.6,0.0,51.1,0.331,12.28,0.0,0.0,119.077394461981,103.67807919432592,0.46444506293671145,10.8,6.0,11.55610530162731,3.3478321585701716,-1.2946814283658148
Arkansas State,0.0,113.1,0.0,0.0,0.0,72.5,0.526,0.0,16.2,0.0,55.3,0.451,-4.37,0.0,0.0,114.23925296934726,95.52212590178937,0.3047044364337069,11.3,3.7,8.892853605086657,1.8253169911336644,-0.6340127717040644
Arkansas-Pine Bluff,0.0,106.4,0.0,0.0,0.0,72.4,0.515,0.0,16.2,0.0,48.2,0.372,-6.9,0.0,0.0,106.63717539645576,103.78964899087218,0.3361923909426252,11.7,7.7,4.1683730582282,3.50843235779136,-0.7667256858488387
Army,0.0,104.8,0.0,0.0,0.0,67.6,0.498,0.0,14.8,0.0,50.4,0.534,-7.14,0.0,0.0,109.14980134266231,104.7836725995009,0.5875455253212799,5.6,5.6,3.345679603171972,2.858898327598646,0.8788895653597666
